condition,cell,n_cycles,Q_initial_Ah,Q_final_Ah,SOH_final_pct,fade_slope_pct_per_cycle,fade_intercept_pct,eol80_cycle,cumulative_Ah_final,CE_median,EE_median,DOD_pct,C_ch,C_dis,T_degC
DOD100_1C1C_25degC,S2000FNX7G,1600,1.1703470863597356,1.0710626021752157,91.51666327522241,-0.005203967167631042,102.28184404024987,,1837.277674982117,1.0021796599825987,0.9329245443370219,100.0,1.0,1.0,25.0
DOD100_1C1C_25degC,S2000FQ0EW,1600,1.1649017576252885,1.0705075025070812,91.89680550309798,-0.004802197805687633,101.77583765022187,,1825.2925469879922,1.0023540910889286,0.9335010089093829,100.0,1.0,1.0,25.0
DOD100_1C1C_40degC,S2000FMK8H,800,1.2197718383486191,1.1316452749402959,92.77516002274385,-0.008626710066251861,101.32616202065572,,955.0439233054559,1.0013367503371515,0.9434597665891847,100.0,1.0,1.0,40.0
DOD100_1C1C_40degC,S2000FMUJX,800,1.2152957400149564,1.1267609528354505,92.71495947328702,-0.009131467080835405,101.71167223574683,,953.3219203520679,1.0012196124791077,0.9444088949678744,100.0,1.0,1.0,40.0
DOD100_1C1C_40degC,S2000FNA0F,972,1.2109990690669756,1.07739553242918,88.96749468678522,-0.011782600467166063,102.69099022272013,,1141.2928721803808,1.002031374193234,0.9423467739947567,100.0,1.0,1.0,40.0
DOD100_1C1C_50degC,S2000EPLM8,304,1.2322248201962827,1.2755044615157969,103.51231695792495,-0.0026212084445765465,100.5650387605321,,375.21556985321513,1.0011902901928735,0.9497391738600242,100.0,1.0,1.0,50.0
DOD100_1C1C_50degC,S2000FNILQ,304,1.2305338700538704,1.2737578402653302,103.51261929991148,-0.002385260564830839,100.57596923647768,,374.8761627248078,1.0011728367638835,0.9500872774616005,100.0,1.0,1.0,50.0
DOD100_1C1C_50degC,S2000FOOS5,306,1.2204994816322583,1.2091004620452261,99.06603650730048,-0.0023859197443536952,100.57509151367978,,374.2528499888843,1.0012879337286156,0.9507239762984654,100.0,1.0,1.0,50.0
DOD100_2C2C_-10degC,S2000FQ87T,203,1.0336837024762884,0.3867772335363884,37.41736786696225,-0.641406236957582,108.45462607229913,76.0,90.29569859202812,0.991107545347302,0.5928837040359889,100.0,2.0,2.0,-10.0
DOD100_2C2C_-10degC,S2000FR213,405,1.052866040517704,1.072997181759719,101.91203253474833,-0.017002428348841764,98.49776422107198,,405.2875147410068,0.7729813937649594,0.60956301013119,100.0,2.0,2.0,-10.0
DOD100_2C2C_25degC,S2000FN8BU,1853,1.1561598746200163,1.013587070906615,87.66841793741897,-0.00669078216438048,103.01860800379995,,2074.1567888658883,1.0028818115777236,0.8930995010054236,100.0,2.0,2.0,25.0
DOD100_2C2C_25degC,S2000FOCH9,1970,1.1517990888589338,0.9727148777703221,84.45178392474445,-0.008060928380972679,103.8529399950553,,2176.215225842552,1.0030052401274236,0.8887302300636375,100.0,2.0,2.0,25.0
DOD100_2C2C_25degC,S2000FONCM,1912,1.162773165759025,0.997842976246602,85.81578984025131,-0.00751119033549394,103.22161267249336,,2135.1195309779678,1.0030831525877173,0.8886972780872544,100.0,2.0,2.0,25.0
DOD100_2C2C_40degC,S2000FLYO2,856,1.1975977166745806,1.0985993218447776,91.73358520549822,-0.010229434700881255,102.38748374705922,,1004.6835310771426,1.0026600193852704,0.9143160192623425,100.0,2.0,2.0,40.0
DOD100_2C2C_40degC,S2000FMG4P,930,1.212541624256684,1.0948010568673427,90.28977108629002,-0.011222463166823866,102.55262529393904,,1097.5389491208905,1.0028031877686625,0.9139597530109425,100.0,2.0,2.0,40.0
DOD100_2C2C_40degC,S2000FN3JX,818,1.2049912463346257,1.112983621901629,92.36445702714704,-0.009706689014865698,101.93523146975265,,965.5782837472992,1.0026360841826207,0.9159820417330549,100.0,2.0,2.0,40.0
