path,condition,test_type,cell,visit,test_id,rpt_T_degC,size_MB,DOD_pct,C_ch,C_dis,T_degC
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FM42G_CU_at25degC_V06_5145.ird,DOD100_1C1C_25degC,CU,S2000FM42G,6,5145,25,15.538,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FM42G_CU_at25degC_V08_5217.ird,DOD100_1C1C_25degC,CU,S2000FM42G,8,5217,25,15.492,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FM42G_CU_at25degC_V10_5270.ird,DOD100_1C1C_25degC,CU,S2000FM42G,10,5270,25,15.407,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FM42G_CU_at25degC_V12_5333.ird,DOD100_1C1C_25degC,CU,S2000FM42G,12,5333,25,15.312,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FM42G_CU_at25degC_V14_5385.ird,DOD100_1C1C_25degC,CU,S2000FM42G,14,5385,25,15.165,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FM42G_CU_at25degC_V16_5419.ird,DOD100_1C1C_25degC,CU,S2000FM42G,16,5419,25,15.008,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FNX7G_CU_at25degC_V00_4904.ird,DOD100_1C1C_25degC,CU,S2000FNX7G,0,4904,25,15.395,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FNX7G_CU_at25degC_V02_4984.ird,DOD100_1C1C_25degC,CU,S2000FNX7G,2,4984,25,15.529,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FNX7G_CU_at25degC_V04_5071.ird,DOD100_1C1C_25degC,CU,S2000FNX7G,4,5071,25,15.582,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FNX7G_CU_at25degC_V06_5144.ird,DOD100_1C1C_25degC,CU,S2000FNX7G,6,5144,25,15.569,100.0,1.0,1.0,25.0
